國民中學校別資料																							
103 學年度 SY2014-2015																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
01	新北市	014565	市立尖山國中	18	6	6	6	486	248	238	75	77	78	82	95	79	152	85	67	11	30	1	5
01	新北市	014566	市立正德國中	57	19	19	19	"1,910"	"1,017"	893	331	294	335	293	351	306	659	354	305	34	94	1	12
01	新北市	014567	市立安溪國中	43	12	15	16	"1,247"	659	588	181	153	226	211	252	224	457	237	220	29	69	2	8
01	新北市	014568	市立樟樹國中	36	10	13	13	"1,039"	562	477	145	137	209	172	208	168	337	183	154	29	56	3	7
01	新北市	014569	市立育林國中	37	12	12	13	"1,217"	630	587	185	175	213	199	232	213	413	220	193	36	48	1	8
01	新北市	014570	市立青山國中(小)	24	8	8	8	706	360	346	114	117	121	112	125	117	234	119	115	15	36	2	7
01	新北市	014571	市立崇林國中	47	14	16	17	"1,344"	683	661	199	191	222	226	262	244	510	254	256	23	81	3	7
01	新北市	014572	市立二重國中	38	12	12	14	936	524	412	166	128	173	135	185	149	261	145	116	32	54	3	7
01	新北市	014573	市立大觀國中	38	13	12	13	"1,079"	533	546	177	174	177	173	179	199	341	167	174	22	69	1	7
01	新北市	014574	市立三多國中	39	13	13	13	"1,262"	649	613	181	192	233	212	235	209	420	216	204	30	56	3	5
01	新北市	014575	市立忠孝國中	35	11	13	11	918	496	422	156	132	168	151	172	139	269	148	121	21	56	1	8
01	新北市	014576	市立鷺江國中	58	17	21	20	"1,686"	859	827	219	243	314	296	326	288	525	266	259	26	103	4	6
01	新北市	014577	市立桃子腳國中(小)	22	8	7	7	748	387	361	139	127	121	119	127	115	245	131	114	14	35	1	8
01	新北市	014578	市立豐珠國中(小)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	12	1	5
